PART,DESCRIPTION,PRICE,AMOUNT,RUNNING PRICE,LINK
m3 Hex nut,so the fan stays in place,1.09,1,0,https://s.click.aliexpress.com/e/_Ewk2ZfA
m3 screws,keep case together(already owned),0,0,1.09,
dc female connector,power it,0.56,1,1.09,https://a.aliexpress.com/_EIAeY6Y
12v dc power jack,"power it, already owned",0,0,1.65,
12v fan,"pc case fan, what makes it work",7.99,1,1.65,https://www.amazon.co.uk/gp/product/B0DJDBV48H/ref=ewc_pr_img_4?smid=AUBM4K0YLFI9J&psc=1
fan controller,change speed of fan,3.99,1,9.64,https://www.amazon.co.uk/gp/product/B0CD1VJS39/ref=ewc_pr_img_1?smid=A1DHSBK7H5KQMH&psc=1
carbon filter,filter the air,3.99,1,13.63,https://www.amazon.co.uk/gp/product/B0D38NM8R6/ref=ewc_pr_img_3?smid=A53GB373UFYI2&psc=1
3d printed case,the case,0,0,17.62,
POUND,,,,17.62,
DOLLAR,,,,23.9632,
